event_id,user,hour_of_day,files_accessed,usb_event,resource_sensitivity
132,carol.smith,11,6,0,0.447
133,bob.carter,11,3,0,0.227
134,bob.carter,9,8,0,0.27
135,emma.wilson,11,13,0,0.197
136,david.lee,11,10,0,0.213
137,carol.smith,8,15,0,0.057
138,emma.wilson,9,12,0,0.182
139,bob.carter,9,1,0,0.127
140,carol.smith,11,7,0,0.245
141,david.lee,8,13,0,0.246
142,emma.wilson,8,11,0,0.079
143,emma.wilson,13,10,0,0.201
144,david.lee,12,7,1,0.048
145,emma.wilson,10,5,0,0.039
146,carol.smith,9,15,0,0.159
147,david.lee,9,4,0,0.303
148,bob.carter,10,7,0,0.148
149,david.lee,12,14,0,0.338
150,david.lee,8,15,0,0.474
151,emma.wilson,10,10,0,0.192
152,bob.carter,9,9,0,0.154
153,alice.johnson,7,6,0,0.114
154,carol.smith,10,9,0,0.599
155,bob.carter,10,12,0,0.101
156,david.lee,11,7,0,0.127
157,emma.wilson,7,5,0,0.206
158,bob.carter,14,8,0,0.073
159,emma.wilson,10,3,0,0.174
160,carol.smith,8,12,1,0.049
161,carol.smith,10,16,0,0.086
162,carol.smith,8,15,0,0.051
163,alice.johnson,9,7,0,0.083
164,carol.smith,10,7,0,0.13
165,bob.carter,13,9,0,0.293
166,alice.johnson,9,12,0,0.179
167,bob.carter,7,10,0,0.082
168,emma.wilson,13,5,0,0.12
169,alice.johnson,7,9,0,0.365
170,bob.carter,9,13,0,0.32
171,carol.smith,12,8,0,0.136
172,alice.johnson,13,15,0,0.221
173,david.lee,13,11,0,0.528
174,carol.smith,11,4,0,0.417
175,alice.johnson,9,1,0,0.335
176,emma.wilson,10,1,0,0.518
177,carol.smith,12,1,0,0.086
178,david.lee,14,9,0,0.064
179,bob.carter,10,3,0,0.445
180,carol.smith,7,5,0,0.127
181,alice.johnson,11,20,0,0.085
182,bob.carter,15,11,0,0.311
183,emma.wilson,7,11,0,0.27
184,david.lee,9,13,0,0.258
185,bob.carter,13,14,0,0.228
186,bob.carter,10,11,0,0.358
187,carol.smith,7,10,0,0.103
188,emma.wilson,9,11,0,0.43
189,david.lee,7,14,0,0.187
190,bob.carter,11,9,0,0.224
191,emma.wilson,13,6,0,0.299
192,alice.johnson,11,15,0,0.066
193,carol.smith,11,8,0,0.085
194,emma.wilson,7,5,0,0.176
195,carol.smith,10,11,0,0.422
196,emma.wilson,10,8,0,0.161
197,emma.wilson,11,13,0,0.068
198,alice.johnson,7,4,0,0.192
199,david.lee,10,9,0,0.029
200,bob.carter,2,480,1,0.92
201,bob.carter,3,510,1,0.88
202,carol.smith,1,5,0,0.97
203,david.lee,14,320,1,0.85
204,alice.johnson,22,600,0,0.91
